FOTNUM;VAR1;SERIES;COUNTRY;LOCALIS;CHRONOL;SEX;ANTER_AREA;MIN_AXIS_ANT;MAJ_AXIS_ANT;ANT_PERIM;ANT_COMPACT;ANT_SH_FACT;L_POST_AREA;L_POST_MIN_A;L_POST_MAJ_A;L_POST_PERIM;L_POST_COMPA;L_POST_SH_FA;R_POST_AREA;R_POST_MIN_A;R_POST_MAJ_A;R_POST_PERIM;R_POST_COMP;R_POST_SH_FA;NOSE_ANGLE;NOSE_SLOPE;POST_AREA;G_OP;EU_EU;BA_B;N_PR;ZY_ZY;ZM_ZM;FT_FT;OL_ALV;ENM_ENM;ID_GN;KLD_KLD;GO_GO;N_NS;APT_APT;NOSINDEX;NOSEINDEX2;VOLUME;VOLUME2;VOLUME3;FACE;CRANSIZE;WIELK(1);WIELK(2);WIELKTSQUARE;WIELKPROB;BASE1;BASE2;BASEFIN;NOSE_SL2;NOSE_AN2;BASEIND;TEMP_YEAR;PERCP_YEAR;MIN_TEMP;MAX_TEMP;MIN_PERC;MAX_PERC;P_T_MAX;P_T_MIN;POST_PERIM;MAJ_AXIS_POS;MIN_AXIS_POS;PROGNATH;POSTINDEX2;ANTER_AREA2;CLUSTER;PALATE;FACTOR(1);FACTOR(2);TSQUARE;PROB;GLOWNY;WYS_DL;WYS_SZER;CZOL_CIEM;GRN_TWARZ;TWARZ_GRN;JARZ_ZUCHW;CZOL_TWARZ;SZCZ_JARZ;NOS_TWARZ;TWARZ_NOS;PODNIEB;ZUCHW_JARZ;ZUCIE;PRZELICZNIK;ANTER_POPR;ROZNICA
68;kal 0928x01;Gr. Norse;431;;;female;586,85123565886;25,8688069625715;36,9097650428191;117,660772431433;23,5904033730433;0,532689942416108;196,486345504364;12,5544165176831;20,7155116624675;57,0473588531097;16,5629888619573;0,758701869517177;154,119528086564;12,3318117980753;17,8225731006159;51,0657482859119;16,9200534181201;0,742690953971905;29,969648774952;40,4400499125882;350,605873590928;177;136;120;62;117;90;94;43;39;24;90;91;49;22;44,8979591836735;70,0866205259261;20155,3278488704;;196667,382230786;5704;144,333333333333;-3,13541793807735;1,00875299505499;2,46864634697671;0,298526978421405;41,7613636363636;9,05543289794534;32,7059307384183;0,705812020645509;0,523069046789198;148,663321538265;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;54,0565535695108;38,5380847630834;24,8862283157583;10,4704011376362;64,5756748648742;880,007589276736;2;110,25641025641;-0,841666616635975;0,273201413869625;0,783041706099811;0,677964820606308;76,8361581920904;67,7966101694915;88,2352941176471;69,1176470588235;52,991452991453;68,8888888888889;77,7777777777778;80,3418803418803;76,9230769230769;18,8034188034188;24,4444444444444;90,6976744186047;101,111111111111;-1,20227879016344;1,02365199;600,731435216151;279,276154060585
69;kal 0930x01;Gr. Norse;431;;;female;709,310466237335;26,2219032045818;39,085701085833;115,002191851922;18,6455787137942;0,673959806088638;203,883285378959;12,7547434199672;22,1609947677787;58,4415475018995;16,7518120382871;0,750149929192024;193,481835481208;13,1084948982621;20,6626594335882;59,3230264760145;18,188898516087;0,690881341893518;25,4175574298073;29,5127402204459;397,365120860167;171;134;122;63;123;89;92;38;39;;;;48;21;43,75;67,088225300086;21026,8361548525;;204715,858933454;5701,5;142,333333333333;;;;;27,1711848341232;3,4366264148273;23,7345584192959;0,515094488132538;0,443620064964886;113,021706758552;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;58,882286988957;42,8236542013669;25,8632383182292;4,09518279063856;60,3947486513276;1013,75497813105;3;97,4358974358974;-1,30899819959862;-0,270706572855073;1,78675833513936;0,412910412299701;78,3625730994152;71,3450292397661;91,044776119403;68,6567164179104;51,219512195122;70,7865168539326;;74,7967479674797;72,3577235772358;17,0731707317073;23,5955056179775;102,631578947368;;;1,075767411;763,053083859341;250,701894271707
70;kal 0945x01;Gr. Norse;431;;;male;632,994926081666;24,36085588752;37,8735722498965;105,230571246871;17,493778652365;0,718333692455878;210,288606261528;11,5246242909931;24,1367135962303;62,8160236344047;18,76398771853;0,669706823669978;166,256107156417;13,0490463113344;19,3494810706869;54,1518453216895;17,6379827598472;0,712460760703684;44,0696407226889;43,2100893917539;376,544713417945;178;138;120;59;130;87;94;40;31;;;;45;22,5;50;64,3215161400219;20190,7927899922;;196985,917124913;5339,5;145,333333333333;;;;;;;;0,75415832996718;0,769160330781894;;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;58,4839344780471;43,4861946669172;24,5736706023275;-0,85955133093492;56,5091307495395;1073,26327062238;3;129,032258064516;-2,42227813302638;-1,85580638022295;9,31144867461396;0,010874719498753;77,5280898876405;67,4157303370787;86,9565217391304;68,1159420289855;45,3846153846154;67,816091954023;;72,3076923076923;66,9230769230769;17,3076923076923;25,8620689655172;77,5;;;1,07507449;680,516697329834;392,746573292544
71;kal 0933x01;Gr. Norse;431;;;male;846,897404587669;28,1990019675435;45,9212186186382;134,236082908703;21,2768699692087;0,590611806743421;180,851477769423;12,4742983558203;19,5899314359618;54,6414393484109;16,5090544511484;0,761180517730078;192,020182399168;13,7436053346385;20,0749224625576;56,3802739666936;16,5541728626814;0,759105919613053;33,3967198599092;33,1536058667806;372,871660168592;192;149;132;76;136;89;102;38;35;;;;52;25;48,0769230769231;61,4073467904405;23175,612230369;;222733,290146209;7258;157,666666666667;;;;;;;;0,578639581283829;0,582882720921595;;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;55,5108566575523;39,6648538985194;26,2179036904588;-0,243113993128667;66,0985762295659;1313,05763691587;4;108,571428571429;-1,92227348268553;-1,1866403953809;5,1032507701857;0,081699521461125;77,6041666666667;68,75;88,5906040268456;68,4563758389262;55,8823529411765;85,3932584269663;;75;65,4411764705882;18,3823529411765;28,0898876404494;92,1052631578947;;;1,152760186;976,269609635398;336,788027280474
72;kal 0934x01;Gr. Norse;431;;;male;667,586822076979;26,925929873907;36,1861089131711;110,165592973941;18,1795947342719;0,691234914641373;286,968147715347;15,218586171095;25,2900929738812;72,3608741870635;18,2462623632707;0,688709301892698;193,803611877742;11,1529139363553;26,3395104369347;69,0146822839112;24,5765614200931;0,511315248685899;21,6682147460174;24,7129000110364;480,771759593088;179;138;120;71;131;92;89;40,5;38,5;26;102;90;52;22;42,3076923076923;74,4095750623975;23254,2612788189;;228132,689667457;6425,5;145,666666666667;-1,83658611331249;0,87778021856171;1,10045840617864;0,581407768357737;23,931513680641;2,76587264081155;21,1656410398294;0,431321472908728;0,378181690347191;96,2074592719519;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;70,6877782354873;51,629603410816;26,3715001074502;3,04468526501897;51,0782542674454;914,080743745801;2;105,194805194805;-0,559370306494459;-0,348199909730014;0,434138316923695;0,805992876384576;77,0949720670391;67,0391061452514;86,9565217391304;64,4927536231884;54,1984732824428;77,1739130434783;68,7022900763359;67,9389312977099;70,2290076335878;16,793893129771;23,9130434782609;95,0617283950617;97,8260869565217;-0,722925471823715;1,07896275;720,301313411938;193,779430333863
73;kal 0944x01;Gr. Norse;431;;;female;641,465851811155;25,8128527675157;38,64480112772;117,146032969138;21,3934896170381;0,587392278646823;205,377434382299;12,3947260652868;22,1107553243401;58,9218612167348;16,9044166886495;0,743377949432406;191,499970098781;12,3355732589984;21,2466804646652;57,6420297684015;17,3504131311738;0,724269244735212;38,1560314392833;39,8545418320612;396,87740448108;169;137;122;58;119;82;91;35;33;24;112;90;44;22;50;66,7951497077315;18171,0069851141;;177649,592525908;5017;142,666666666667;-4,58977345733353;1,70570930415978;5,72837840011738;0,063034375222618;36,7304347826087;1,3047445708078;35,4256902118009;0,695592976843281;0,665948378109965;161,025864599095;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;58,2819454925681;43,3574357890053;24,7302993242852;1,69851039277787;57,0381962730286;1037,76675846273;3;106,060606060606;-2,8047426583223;-1,85382246464362;11,3032391098301;0,004249307718358;81,0650887573965;72,189349112426;89,051094890511;66,4233576642336;48,7394957983193;70,7317073170732;75,6302521008403;76,4705882352941;68,9075630252101;18,4873949579832;26,8292682926829;94,2857142857143;109,756097560976;-1,54996291182427;1,177612737;755,39835744337;282,368401019362
74;kal 0958x01;Gr. Norse;431;;;female;548,103684019175;24,7693658228939;32,6649217896667;103,53759873117;19,5584059432114;0,64250484680838;196,686860171716;13,1197346452298;20,7109632400722;56,9018944714673;16,4618296901747;0,763364149117608;195,185379947482;12,9398499686953;21,4286042220258;59,8653690994243;18,3613261319808;0,6843934105866;33,5257555464617;32,9052429229879;391,872240119199;176;139;121;60;123;93;96;34;33,5;21;99;86;49;21;42,8571428571429;75,8286396103648;15979,5907103524;;156980,922948382;5670;145,333333333333;-3,79772077175117;2,49250476556591;6,46059444866801;0,044725203248496;;;;0,574304830174702;0,585134818504508;;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;58,3836317854458;42,139567462098;26,059584613925;-0,620512623473843;61,8411298060048;850,827803790264;2;101,492537313433;-2,5918130647926;-1,9391955577818;10,4779743741503;0,006264918040864;78,9772727272727;68,75;87,0503597122302;69,0647482014388;48,7804878048781;64,5161290322581;69,9186991869919;78,0487804878049;75,609756097561;17,0731707317073;22,5806451612903;98,5294117647059;92,4731182795699;-1,09660279893413;1,151431402;631,103793331564;219,724010458701
75;kal 0959x01;Gr. Norse;431;;;female;540,831820223774;22,8427580687096;38,0925445942155;110,596264677818;22,6161503508154;0,555637030150274;149,816548279172;10,877316898136;20,0442301844906;52,2826383961799;18,2454762779081;0,688738974140933;140,469284944253;10,7315986719083;19,4297871046457;51,6830900173025;19,0158424654662;0,660836912021142;37,0951706786456;31,7293779656788;290,285833223424;171;136;125;68;121;78;91;39;35,5;26;103,5;96;51;20,5;40,1960784313726;59,9664798244493;16206,7942422204;;157467,686222228;5746;144;-3,28858305710216;1,00964851984494;2,65555121228753;0,272720154167524;;;;0,553782115110836;0,647432864931625;;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;51,9828642067412;39,4740172891362;21,6089155700443;-5,36579271296673;54,7421241972028;867,029534873475;2;109,859154929577;-2,07158319423001;-0,836721067042685;4,99155907464927;0,08624244904128;79,5321637426901;73,0994152046784;91,9117647058824;66,9117647058823;56,198347107438;87,1794871794872;79,3388429752066;75,2066115702479;64,4628099173554;16,9421487603306;26,2820512820513;91,025641025641;123,076923076923;-1,4814554851913;1,252497684;677,390602263781;189,638932609695
77;kal 0915x01;Gr. Norse;431;;;male;727,476083097925;25,4790669472592;42,0854399003605;124,264636229945;21,2264020441782;0,592016046252445;254,888104720494;14,1326133279637;23,5409547230854;65,3955292440889;16,7782456925721;0,748968089072773;236,99258313554;13,5950737406832;24,414212927581;65,3593735463757;18,0252379794161;0,697154213925459;30,6188301095199;32,4553007412856;491,880687856034;185;144;133,5;65;;96;;38;41;28;129;107;53;22;41,5094339622642;60,5412869809183;23167,7786481252;;227208,228170106;;154,166666666667;;;;;33,7066233766234;1,69936232667913;32,0072610499442;0,566451857660389;0,534399398519898;145,487550227019;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;65,3774513952322;47,9551676506664;27,7276870686469;1,83647063176566;57,8200190449372;1097,99730725838;3;92,6829268292683;-1,77793588478662;0,49475131607727;3,40583487517219;0,186569529559587;77,8378378378378;72,1621621621622;92,7083333333333;;;67,7083333333333;;;;;22,9166666666667;107,894736842105;111,458333333333;;1,074514814;781,683828119416;316,313479138964
78;kal 1090x01;Gr. Norse;431;;;male;1031,06170003223;31,9386629952722;47,5005923468227;138,084006053976;18,4927756770701;0,679528635062649;212,118582320099;13,971746301075;20,4960056201217;57,9922617705293;15,8548222813713;0,792589812193864;227,118491487408;14,6179171122836;21,0727184800427;59,5108052870074;15,5933403868371;0,805880606888241;37,7054277877555;33,689388593635;439,237073807507;196;142;141;78;141;93;103;39;38;;;;59;26;44,0677966101695;67,2384520219749;28670,8260898748;;274978,430495915;7644;159,666666666667;;;;;;;;0,587990753942753;0,658083860769295;;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;58,7515335287683;41,5687241001645;28,5896634133586;-4,01603919412052;68,7768605658154;1661,66108989084;4;102,631578947368;-2,16061182057554;-0,077000301919906;4,6741724857065;0,100595236578376;72,4489795918367;71,9387755102041;99,2957746478873;72,5352112676056;55,3191489361702;83,8709677419355;;73,0496453900709;65,9574468085106;18,4397163120567;27,9569892473118;97,4358974358974;;;1,225212639;1263,26982646831;398,391263422525
